[2026-07-18T15:51:53.828Z] GET http://localhost:8742/assets/renegar-regenerar.jpg → 200 (36ms, 398439B)
[2026-07-18T15:51:53.828Z] GET http://localhost:8742/assets/semilla-aula.jpg → 200 (36ms, 228737B)
[2026-07-18T15:51:53.829Z] GET http://localhost:8742/assets/evento-crowd.jpg → 200 (36ms, 304012B)
[2026-07-18T15:51:53.881Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (3ms, 62556B)
[2026-07-18T15:51:53.882Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (1ms, 8724B)
[2026-07-18T15:51:53.883Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, 8688B)
[2026-07-18T15:51:54.005Z] GET https://www.youtube.com/embed/m91L5dTdORs?autoplay=1&rel=0 → 200 (295ms, 145089B)
[2026-07-18T15:51:54.313Z] GET https://www.youtube.com/s/player/882a803a/www-player.css → 200 (1ms, 525369B)
[2026-07-18T15:51:54.313Z] GET https://www.youtube.com/s/_/ytembeds/_/ss/k=ytembeds.base.KYIZNdRMTVY.L.W.O/am=AAAAgA/d=0/br=1/rs=AGKMywGLH1ML3PrBIUR6KPNIOGlrviPLxw → 200 (8ms, 476283B)
[2026-07-18T15:51:54.313Z] GET https://www.youtube.com/s/_/ytembeds/_/js/k=ytembeds.base.en_US.oj0x9vs_Wf8.es5.O/am=AAAAgA/d=1/br=1/rs=AGKMywHnp_uHpt1xHNppgijvAyyugDexYg/m=root,base → 200 (32ms, ?B)
[2026-07-18T15:51:54.313Z] GET https://www.youtube.com/s/player/882a803a/player_embed.vflset/es_MX/base.js → pending (?ms, ?B)
[2026-07-18T15:51:54.315Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (6ms, 34668B)
[2026-07-18T15:51:54.376Z] GET https://googleads.g.doubleclick.net/pagead/id → 302 (65ms, ?B)
[2026-07-18T15:51:54.376Z] GET https://static.doubleclick.net/instream/ad_status.js → 200 (61ms, 29B)
[2026-07-18T15:51:54.376Z] GET https://www.youtube.com/s/_/ytembeds/_/js/k=ytembeds.base.en_US.oj0x9vs_Wf8.es5.O/am=AAAAgA/d=1/exm=base,root/ed=1/br=1/rs=AGKMywHnp_uHpt1xHNppgijvAyyugDexYg/m=r78Drb → 200 (64ms, 826199B)
[2026-07-18T15:51:54.437Z] POST https://www.youtube.com/youtubei/v1/player?prettyPrint=false → 200 (121ms, 84159B)
[2026-07-18T15:51:54.442Z] GET https://googleads.g.doubleclick.net/pagead/id?slf_rd=1 → 200 (33ms, 100B)
